Date,Open,High,Low,Close,Volume
14-Oct-15,683.73,690.04,678.90,680.41,1564582
13-Oct-15,674.26,688.46,673.11,683.17,2122338
12-Oct-15,669.19,677.98,667.24,676.43,1334225
6-Oct-15,669.35,678.80,663.08,671.64,2138738
2-Oct-15,638.01,658.26,633.50,656.99,2439435
1-Oct-15,637.94,643.84,631.12,642.00,2125315
30-Sep-15,631.83,639.31,629.15,638.37,2647655
29-Sep-15,625.50,634.68,618.03,622.61,2106466
28-Sep-15,639.05,642.85,617.84,624.25,2382300
25-Sep-15,658.58,658.58,639.66,640.15,2423992
24-Sep-15,648.97,656.77,642.16,654.91,1934639
23-Sep-15,652.90,660.28,650.73,653.29,1457995
22-Sep-15,657.47,658.82,645.03,653.20,2718081
21-Sep-15,665.51,669.00,658.00,666.98,1954667
18-Sep-15,665.06,669.84,660.03,660.92,3627210
17-Sep-15,667.49,681.99,665.00,671.67,2387605
16-Sep-15,665.55,668.07,662.20,665.52,1312598
15-Sep-15,656.71,668.85,653.34,665.07,1777320
14-Sep-15,655.63,655.92,649.50,652.47,1497627
11-Sep-15,650.21,655.31,647.41,655.30,1744615
10-Sep-15,643.90,654.90,641.70,651.08,1384602
9-Sep-15,651.88,657.36,640.90,643.41,2048908
8-Sep-15,641.00,645.04,632.90,643.88,1954648
4-Sep-15,629.70,634.50,626.50,628.96,2024990
3-Sep-15,647.93,651.25,633.81,637.05,1728562
2-Sep-15,638.00,645.06,630.64,644.91,1881489
1-Sep-15,633.81,644.44,625.06,629.56,2572884
31-Aug-15,654.34,664.41,646.35,647.82,1946844
28-Aug-15,665.76,667.00,653.75,659.69,1941833
27-Aug-15,671.99,673.98,651.10,667.96,2948736
26-Aug-15,643.10,662.48,630.37,659.74,4386985
25-Aug-15,646.47,647.00,611.67,612.47,3571469
24-Aug-15,600.60,644.33,593.09,618.11,6489430
21-Aug-15,671.04,672.89,643.10,644.03,4593970
20-Aug-15,689.10,696.16,675.28,679.48,2889877
19-Aug-15,690.11,700.20,686.80,694.04,2509697
18-Aug-15,691.07,695.76,685.32,688.73,1385544
17-Aug-15,688.04,694.74,683.06,694.11,1233951
14-Aug-15,684.04,692.26,682.90,689.37,1379855
13-Aug-15,689.20,694.03,682.18,686.51,1817748
12-Aug-15,694.49,696.00,680.51,691.47,2932328
11-Aug-15,699.58,704.00,684.32,690.30,5494011
10-Aug-15,667.09,671.62,660.23,663.14,1722915
7-Aug-15,667.78,668.80,658.87,664.39,1377152
6-Aug-15,673.99,674.75,660.73,670.15,2032984
5-Aug-15,665.75,679.91,665.58,673.29,1822387
4-Aug-15,664.34,668.00,660.51,661.28,1309410
3-Aug-15,657.66,666.67,657.66,664.72,1567407
31-Jul-15,664.70,665.00,657.20,657.50,1746094
30-Jul-15,657.44,668.05,651.69,664.56,1980345
29-Jul-15,662.26,663.33,652.84,661.43,1837805
28-Jul-15,661.76,664.10,653.41,659.66,1718193
27-Jul-15,651.57,667.07,651.55,658.27,2919110
24-Jul-15,676.77,677.79,653.18,654.77,4131137
23-Jul-15,691.85,696.07,671.59,674.73,3811598
22-Jul-15,694.02,713.33,691.62,695.10,4154987
21-Jul-15,684.88,705.60,684.15,695.35,3780230
20-Jul-15,688.98,697.80,681.77,692.84,5121752
17-Jul-15,680.00,703.00,678.00,699.62,12858136
16-Jul-15,589.50,604.50,587.92,601.78,5632054
15-Jul-15,583.74,588.69,580.21,583.96,2073330
14-Jul-15,574.50,589.71,574.17,584.18,3741583
13-Jul-15,559.51,572.85,558.70,571.73,2089641
10-Jul-15,553.71,559.29,552.00,556.11,2171750
9-Jul-15,548.65,548.88,544.62,544.65,1488324
8-Jul-15,545.60,548.28,541.20,541.70,1383065
7-Jul-15,547.43,551.00,539.85,550.03,1679759
6-Jul-15,542.25,548.58,542.10,545.62,1280687
2-Jul-15,544.74,548.00,543.57,547.34,1406213
1-Jul-15,543.66,545.81,539.76,543.30,1537973
30-Jun-15,545.09,545.90,539.54,540.04,1725464
29-Jun-15,546.75,550.90,540.24,541.25,1887816
26-Jun-15,559.71,560.00,551.85,553.06,2183753
